semana_fin,fecha_dato,anio,mes,semana_iso,geografia,tipo_geografia,municipio_referencia,orden_geografia,categoria,cadencia,orden_variable,variable,etiqueta_variable,descripcion_variable,valor,unidad,decimales,color,fuente,dias_observados,indice_base_100,cambio_1s_absoluto,cambio_1s_pct,cambio_4s_pct,cambio_1m_pct,cambio_12m_pct,promedio_movil_4s,promedio_movil_12s,anomalia_z_52s,estado_anomalia,direccion_cambio,ranking_departamental,percentil_departamental,diferencia_mediana_departamentos
2026-06-21,2026-06-21,2026,6,25,Tolima,Departamental,Líbano,5,Clima,Semanal,8,temp_max_semanal,Temperatura máxima semanal,Mayor temperatura máxima diaria de la semana,25.6,°C,1,#DC2626,open-meteo,7,,-0.1,,,,,25.65,24.85,0.989641,Dentro de su rango histórico,Baja,4.0,62.5,0.15
2026-06-21,2026-06-21,2026,6,25,Tolima,Departamental,Líbano,5,Clima,Semanal,9,temp_promedio_semanal,Temperatura promedio semanal,Promedio de los puntos medios diarios de temperatura,19.9571,°C,1,#D97706,open-meteo,7,,0.4285,,,,,19.926775,19.644642,1.383998,Por encima de su historia,Sube,4.0,62.5,0.0107
2026-06-21,2026-06-21,2026,6,25,Cauca,Departamental,Popayán,6,Clima,Semanal,6,precipitacion_semanal,Precipitación semanal,Lluvia acumulada en la coordenada municipal de referencia,14.4,mm,1,#0284C7,open-meteo,7,,-20.6,-58.857143,-5.882353,,,31.625,36.375,-0.934543,Dentro de su rango histórico,Baja,8.0,12.5,-34.25
2026-06-21,2026-06-21,2026,6,25,Cauca,Departamental,Popayán,6,Clima,Semanal,7,temp_min_semanal,Temperatura mínima semanal,Menor temperatura mínima diaria de la semana,14.1,°C,1,#4F46E5,open-meteo,7,,0.3,,,,,14.475,13.841667,0.941934,Dentro de su rango histórico,Sube,7.0,25.0,-1.3
2026-06-21,2026-06-21,2026,6,25,Cauca,Departamental,Popayán,6,Clima,Semanal,8,temp_max_semanal,Temperatura máxima semanal,Mayor temperatura máxima diaria de la semana,25.3,°C,1,#DC2626,open-meteo,7,,-1.3,,,,,26.625,25.858333,0.04165,Dentro de su rango histórico,Baja,5.0,50.0,-0.15
2026-06-21,2026-06-21,2026,6,25,Cauca,Departamental,Popayán,6,Clima,Semanal,9,temp_promedio_semanal,Temperatura promedio semanal,Promedio de los puntos medios diarios de temperatura,19.5643,°C,1,#D97706,open-meteo,7,,0.0143,,,,,19.7625,19.376183,0.74297,Dentro de su rango histórico,Sube,6.0,37.5,-0.3821
2026-06-21,2026-06-21,2026,6,25,Nariño,Departamental,La Unión,7,Clima,Semanal,6,precipitacion_semanal,Precipitación semanal,Lluvia acumulada en la coordenada municipal de referencia,24.6,mm,1,#0284C7,open-meteo,7,,-3.5,-12.455516,38.983051,,,28.325,40.783333,-0.517822,Dentro de su rango histórico,Baja,7.0,25.0,-24.05
2026-06-21,2026-06-21,2026,6,25,Nariño,Departamental,La Unión,7,Clima,Semanal,7,temp_min_semanal,Temperatura mínima semanal,Menor temperatura mínima diaria de la semana,15.1,°C,1,#4F46E5,open-meteo,7,,0.8,,,,,15.2,14.066667,1.625697,Por encima de su historia,Sube,5.0,50.0,-0.3
2026-06-21,2026-06-21,2026,6,25,Nariño,Departamental,La Unión,7,Clima,Semanal,8,temp_max_semanal,Temperatura máxima semanal,Mayor temperatura máxima diaria de la semana,23.0,°C,1,#DC2626,open-meteo,7,,-2.3,,,,,25.025,24.125,-0.256117,Dentro de su rango histórico,Baja,7.0,25.0,-2.45
2026-06-21,2026-06-21,2026,6,25,Nariño,Departamental,La Unión,7,Clima,Semanal,9,temp_promedio_semanal,Temperatura promedio semanal,Promedio de los puntos medios diarios de temperatura,19.1857,°C,1,#D97706,open-meteo,7,,0.05,,,,,19.357125,18.791058,1.154795,Por encima de su historia,Sube,7.0,25.0,-0.7607
2026-06-21,2026-06-21,2026,6,25,Risaralda,Departamental,Pereira,8,Clima,Semanal,6,precipitacion_semanal,Precipitación semanal,Lluvia acumulada en la coordenada municipal de referencia,44.9,mm,1,#0284C7,open-meteo,7,,18.8,72.030651,87.083333,,,39.45,49.583333,-0.598721,Dentro de su rango histórico,Sube,5.0,50.0,-3.75
2026-06-21,2026-06-21,2026,6,25,Risaralda,Departamental,Pereira,8,Clima,Semanal,7,temp_min_semanal,Temperatura mínima semanal,Menor temperatura mínima diaria de la semana,16.0,°C,1,#4F46E5,open-meteo,7,,-0.2,,,,,16.475,16.025,0.987015,Dentro de su rango histórico,Baja,3.0,75.0,0.6
2026-06-21,2026-06-21,2026,6,25,Risaralda,Departamental,Pereira,8,Clima,Semanal,8,temp_max_semanal,Temperatura máxima semanal,Mayor temperatura máxima diaria de la semana,26.2,°C,1,#DC2626,open-meteo,7,,-2.4,,,,,27.525,27.133333,0.014269,Dentro de su rango histórico,Baja,2.0,87.5,0.75
2026-06-21,2026-06-21,2026,6,25,Risaralda,Departamental,Pereira,8,Clima,Semanal,9,temp_promedio_semanal,Temperatura promedio semanal,Promedio de los puntos medios diarios de temperatura,20.85,°C,1,#D97706,open-meteo,7,,-0.6857,,,,,21.36785,21.18035,0.765077,Dentro de su rango histórico,Baja,2.0,87.5,0.9036
2026-06-21,2026-06-21,2026,6,25,Quindío,Departamental,Armenia,9,Clima,Semanal,6,precipitacion_semanal,Precipitación semanal,Lluvia acumulada en la coordenada municipal de referencia,101.2,mm,1,#0284C7,open-meteo,7,,50.2,98.431373,60.890302,,,93.075,87.366667,-0.426263,Dentro de su rango histórico,Sube,3.0,75.0,52.55
2026-06-21,2026-06-21,2026,6,25,Quindío,Departamental,Armenia,9,Clima,Semanal,7,temp_min_semanal,Temperatura mínima semanal,Menor temperatura mínima diaria de la semana,16.3,°C,1,#4F46E5,open-meteo,7,,0.8,,,,,16.425,15.591667,1.691771,Por encima de su historia,Sube,2.0,87.5,0.9
2026-06-21,2026-06-21,2026,6,25,Quindío,Departamental,Armenia,9,Clima,Semanal,8,temp_max_semanal,Temperatura máxima semanal,Mayor temperatura máxima diaria de la semana,23.6,°C,1,#DC2626,open-meteo,7,,-3.4,,,,,25.525,25.733333,-1.294802,Por debajo de su historia,Baja,6.0,37.5,-1.85
2026-06-21,2026-06-21,2026,6,25,Quindío,Departamental,Armenia,9,Clima,Semanal,9,temp_promedio_semanal,Temperatura promedio semanal,Promedio de los puntos medios diarios de temperatura,19.9357,°C,1,#D97706,open-meteo,7,,-0.45,,,,,20.428575,20.349408,0.673025,Dentro de su rango histórico,Baja,5.0,50.0,-0.0107
