fecha,geografia,variable,valor,unidad,fuente
2023-01-04,Cauca,temp_max,21.7,°C,open-meteo
2023-01-04,Cauca,temp_min,13.4,°C,open-meteo
2023-01-04,GLOBAL,precio_cafe_arabica,161.3000030517578,USc/lb,yfinance
2023-01-04,Huila,precipitacion,1.1,mm,open-meteo
2023-01-04,Huila,temp_max,23.1,°C,open-meteo
2023-01-04,Huila,temp_min,15.9,°C,open-meteo
2023-01-04,Nariño,precipitacion,4.9,mm,open-meteo
2023-01-04,Nariño,temp_max,21.0,°C,open-meteo
2023-01-04,Nariño,temp_min,13.4,°C,open-meteo
2023-01-04,Quindío,precipitacion,5.7,mm,open-meteo
2023-01-04,Quindío,temp_max,22.9,°C,open-meteo
2023-01-04,Quindío,temp_min,14.6,°C,open-meteo
2023-01-04,Risaralda,precipitacion,1.4,mm,open-meteo
2023-01-04,Risaralda,temp_max,22.0,°C,open-meteo
2023-01-04,Risaralda,temp_min,14.6,°C,open-meteo
2023-01-04,Tolima,precipitacion,3.0,mm,open-meteo
2023-01-04,Tolima,temp_max,20.1,°C,open-meteo
2023-01-04,Tolima,temp_min,14.0,°C,open-meteo
2023-01-05,Antioquia,precipitacion,10.5,mm,open-meteo
2023-01-05,Antioquia,temp_max,23.8,°C,open-meteo
2023-01-05,Antioquia,temp_min,15.8,°C,open-meteo
2023-01-05,COLOMBIA,fx_usd_local,4928.8798828125,COP/USD,yfinance
2023-01-05,COLOMBIA,precio_interno_referencia,1947000.0,COP/carga_125kg,FNC
2023-01-05,Caldas,precipitacion,1.0,mm,open-meteo
2023-01-05,Caldas,temp_max,18.8,°C,open-meteo
2023-01-05,Caldas,temp_min,10.9,°C,open-meteo
2023-01-05,Cauca,precipitacion,4.2,mm,open-meteo
2023-01-05,Cauca,temp_max,21.6,°C,open-meteo
2023-01-05,Cauca,temp_min,12.1,°C,open-meteo
2023-01-05,GLOBAL,precio_cafe_arabica,160.5500030517578,USc/lb,yfinance
2023-01-05,Huila,precipitacion,2.3,mm,open-meteo
2023-01-05,Huila,temp_max,25.0,°C,open-meteo
2023-01-05,Huila,temp_min,14.5,°C,open-meteo
2023-01-05,Nariño,precipitacion,13.1,mm,open-meteo
2023-01-05,Nariño,temp_max,20.3,°C,open-meteo
2023-01-05,Nariño,temp_min,13.0,°C,open-meteo
2023-01-05,Quindío,precipitacion,8.8,mm,open-meteo
2023-01-05,Quindío,temp_max,22.7,°C,open-meteo
2023-01-05,Quindío,temp_min,15.3,°C,open-meteo
2023-01-05,Risaralda,precipitacion,3.6,mm,open-meteo
2023-01-05,Risaralda,temp_max,24.0,°C,open-meteo
2023-01-05,Risaralda,temp_min,13.7,°C,open-meteo
2023-01-05,Tolima,precipitacion,3.7,mm,open-meteo
2023-01-05,Tolima,temp_max,21.3,°C,open-meteo
2023-01-05,Tolima,temp_min,15.1,°C,open-meteo
2023-01-06,Antioquia,precipitacion,6.4,mm,open-meteo
2023-01-06,Antioquia,temp_max,24.2,°C,open-meteo
2023-01-06,Antioquia,temp_min,14.9,°C,open-meteo
2023-01-06,COLOMBIA,fx_usd_local,4963.43017578125,COP/USD,yfinance
2023-01-06,COLOMBIA,precio_interno_referencia,1885000.0,COP/carga_125kg,FNC
2023-01-06,Caldas,precipitacion,2.3,mm,open-meteo
2023-01-06,Caldas,temp_max,17.3,°C,open-meteo
2023-01-06,Caldas,temp_min,12.0,°C,open-meteo
2023-01-06,Cauca,precipitacion,3.0,mm,open-meteo
2023-01-06,Cauca,temp_max,20.8,°C,open-meteo
2023-01-06,Cauca,temp_min,13.4,°C,open-meteo
2023-01-06,GLOBAL,precio_cafe_arabica,158.3000030517578,USc/lb,yfinance
2023-01-06,Huila,precipitacion,4.9,mm,open-meteo
2023-01-06,Huila,temp_max,24.4,°C,open-meteo
2023-01-06,Huila,temp_min,13.2,°C,open-meteo
2023-01-06,Nariño,precipitacion,1.6,mm,open-meteo
2023-01-06,Nariño,temp_max,19.5,°C,open-meteo
2023-01-06,Nariño,temp_min,13.1,°C,open-meteo
2023-01-06,Quindío,precipitacion,10.4,mm,open-meteo
2023-01-06,Quindío,temp_max,20.7,°C,open-meteo
2023-01-06,Quindío,temp_min,14.4,°C,open-meteo
2023-01-06,Risaralda,precipitacion,6.6,mm,open-meteo
2023-01-06,Risaralda,temp_max,22.0,°C,open-meteo
2023-01-06,Risaralda,temp_min,14.4,°C,open-meteo
2023-01-06,Tolima,precipitacion,13.7,mm,open-meteo
2023-01-06,Tolima,temp_max,20.6,°C,open-meteo
