semana_fin,fecha_dato,geografia,variable,valor,unidad,fuente,dias_observados
2023-01-15,2023-01-15,Quindío,temp_max_semanal,21.9,°C,open-meteo,7
2023-01-15,2023-01-15,Quindío,temp_min_semanal,13.2,°C,open-meteo,7
2023-01-15,2023-01-15,Quindío,temp_promedio_semanal,17.2429,°C,open-meteo,7
2023-01-15,2023-01-15,Risaralda,precipitacion_semanal,109.4,mm,open-meteo,7
2023-01-15,2023-01-15,Risaralda,temp_max_semanal,24.0,°C,open-meteo,7
2023-01-15,2023-01-15,Risaralda,temp_min_semanal,13.2,°C,open-meteo,7
2023-01-15,2023-01-15,Risaralda,temp_promedio_semanal,18.25,°C,open-meteo,7
2023-01-15,2023-01-15,Tolima,precipitacion_semanal,139.3,mm,open-meteo,7
2023-01-15,2023-01-15,Tolima,temp_max_semanal,22.0,°C,open-meteo,7
2023-01-15,2023-01-15,Tolima,temp_min_semanal,12.2,°C,open-meteo,7
2023-01-15,2023-01-15,Tolima,temp_promedio_semanal,16.7786,°C,open-meteo,7
2023-01-22,2023-01-22,Antioquia,precipitacion_semanal,23.7,mm,open-meteo,7
2023-01-22,2023-01-22,Antioquia,temp_max_semanal,25.5,°C,open-meteo,7
2023-01-22,2023-01-22,Antioquia,temp_min_semanal,14.7,°C,open-meteo,7
2023-01-22,2023-01-22,Antioquia,temp_promedio_semanal,20.1643,°C,open-meteo,7
2023-01-22,2023-01-20,COLOMBIA,fx_usd_local,4667.4501953125,COP/USD,yfinance,5
2023-01-22,2023-01-22,COLOMBIA,precio_interno_referencia,1750000.0,COP/carga_125kg,FNC,7
2023-01-22,2023-01-22,Caldas,precipitacion_semanal,134.2,mm,open-meteo,7
2023-01-22,2023-01-22,Caldas,temp_max_semanal,18.2,°C,open-meteo,7
2023-01-22,2023-01-22,Caldas,temp_min_semanal,7.8,°C,open-meteo,7
2023-01-22,2023-01-22,Caldas,temp_promedio_semanal,13.3357,°C,open-meteo,7
2023-01-22,2023-01-22,Cauca,precipitacion_semanal,54.8,mm,open-meteo,7
2023-01-22,2023-01-22,Cauca,temp_max_semanal,21.5,°C,open-meteo,7
2023-01-22,2023-01-22,Cauca,temp_min_semanal,11.4,°C,open-meteo,7
2023-01-22,2023-01-22,Cauca,temp_promedio_semanal,16.6286,°C,open-meteo,7
2023-01-22,2023-01-20,GLOBAL,precio_cafe_arabica,154.8000030517578,USc/lb,yfinance,4
2023-01-22,2023-01-22,Huila,precipitacion_semanal,19.7,mm,open-meteo,7
2023-01-22,2023-01-22,Huila,temp_max_semanal,25.4,°C,open-meteo,7
2023-01-22,2023-01-22,Huila,temp_min_semanal,12.4,°C,open-meteo,7
2023-01-22,2023-01-22,Huila,temp_promedio_semanal,19.0071,°C,open-meteo,7
2023-01-22,2023-01-22,Nariño,precipitacion_semanal,45.9,mm,open-meteo,7
2023-01-22,2023-01-22,Nariño,temp_max_semanal,20.2,°C,open-meteo,7
2023-01-22,2023-01-22,Nariño,temp_min_semanal,12.9,°C,open-meteo,7
2023-01-22,2023-01-22,Nariño,temp_promedio_semanal,16.4286,°C,open-meteo,7
2023-01-22,2023-01-22,Quindío,precipitacion_semanal,133.7,mm,open-meteo,7
2023-01-22,2023-01-22,Quindío,temp_max_semanal,21.6,°C,open-meteo,7
2023-01-22,2023-01-22,Quindío,temp_min_semanal,13.6,°C,open-meteo,7
2023-01-22,2023-01-22,Quindío,temp_promedio_semanal,17.7929,°C,open-meteo,7
2023-01-22,2023-01-22,Risaralda,precipitacion_semanal,79.5,mm,open-meteo,7
2023-01-22,2023-01-22,Risaralda,temp_max_semanal,23.4,°C,open-meteo,7
2023-01-22,2023-01-22,Risaralda,temp_min_semanal,13.2,°C,open-meteo,7
2023-01-22,2023-01-22,Risaralda,temp_promedio_semanal,18.3643,°C,open-meteo,7
2023-01-22,2023-01-22,Tolima,precipitacion_semanal,95.7,mm,open-meteo,7
2023-01-22,2023-01-22,Tolima,temp_max_semanal,21.1,°C,open-meteo,7
2023-01-22,2023-01-22,Tolima,temp_min_semanal,11.5,°C,open-meteo,7
2023-01-22,2023-01-22,Tolima,temp_promedio_semanal,16.5571,°C,open-meteo,7
2023-01-29,2023-01-29,Antioquia,precipitacion_semanal,5.0,mm,open-meteo,7
2023-01-29,2023-01-29,Antioquia,temp_max_semanal,27.7,°C,open-meteo,7
2023-01-29,2023-01-29,Antioquia,temp_min_semanal,14.3,°C,open-meteo,7
2023-01-29,2023-01-29,Antioquia,temp_promedio_semanal,20.9571,°C,open-meteo,7
2023-01-29,2023-01-27,COLOMBIA,fx_usd_local,4519.10009765625,COP/USD,yfinance,5
2023-01-29,2023-01-29,COLOMBIA,precio_interno_referencia,1885000.0,COP/carga_125kg,FNC,7
2023-01-29,2023-01-29,Caldas,precipitacion_semanal,48.7,mm,open-meteo,7
2023-01-29,2023-01-29,Caldas,temp_max_semanal,20.1,°C,open-meteo,7
2023-01-29,2023-01-29,Caldas,temp_min_semanal,7.4,°C,open-meteo,7
2023-01-29,2023-01-29,Caldas,temp_promedio_semanal,13.8143,°C,open-meteo,7
2023-01-29,2023-01-29,Cauca,precipitacion_semanal,3.6,mm,open-meteo,7
2023-01-29,2023-01-29,Cauca,temp_max_semanal,21.9,°C,open-meteo,7
2023-01-29,2023-01-29,Cauca,temp_min_semanal,11.8,°C,open-meteo,7
2023-01-29,2023-01-29,Cauca,temp_promedio_semanal,17.0,°C,open-meteo,7
2023-01-29,2023-01-27,GLOBAL,precio_cafe_arabica,169.89999389648438,USc/lb,yfinance,5
2023-01-29,2023-01-29,Huila,precipitacion_semanal,7.9,mm,open-meteo,7
2023-01-29,2023-01-29,Huila,temp_max_semanal,26.2,°C,open-meteo,7
2023-01-29,2023-01-29,Huila,temp_min_semanal,11.1,°C,open-meteo,7
2023-01-29,2023-01-29,Huila,temp_promedio_semanal,18.4786,°C,open-meteo,7
2023-01-29,2023-01-29,Nariño,precipitacion_semanal,22.3,mm,open-meteo,7
2023-01-29,2023-01-29,Nariño,temp_max_semanal,22.1,°C,open-meteo,7
2023-01-29,2023-01-29,Nariño,temp_min_semanal,11.2,°C,open-meteo,7
2023-01-29,2023-01-29,Nariño,temp_promedio_semanal,16.6714,°C,open-meteo,7
2023-01-29,2023-01-29,Quindío,precipitacion_semanal,41.2,mm,open-meteo,7
2023-01-29,2023-01-29,Quindío,temp_max_semanal,23.9,°C,open-meteo,7
2023-01-29,2023-01-29,Quindío,temp_min_semanal,12.6,°C,open-meteo,7
2023-01-29,2023-01-29,Quindío,temp_promedio_semanal,18.2714,°C,open-meteo,7
2023-01-29,2023-01-29,Risaralda,precipitacion_semanal,10.3,mm,open-meteo,7
2023-01-29,2023-01-29,Risaralda,temp_max_semanal,24.9,°C,open-meteo,7
2023-01-29,2023-01-29,Risaralda,temp_min_semanal,13.4,°C,open-meteo,7
2023-01-29,2023-01-29,Risaralda,temp_promedio_semanal,19.2857,°C,open-meteo,7
2023-01-29,2023-01-29,Tolima,precipitacion_semanal,104.9,mm,open-meteo,7
2023-01-29,2023-01-29,Tolima,temp_max_semanal,23.5,°C,open-meteo,7
2023-01-29,2023-01-29,Tolima,temp_min_semanal,11.0,°C,open-meteo,7
2023-01-29,2023-01-29,Tolima,temp_promedio_semanal,17.5214,°C,open-meteo,7
2023-02-05,2023-02-05,Antioquia,precipitacion_semanal,5.3,mm,open-meteo,7
2023-02-05,2023-02-05,Antioquia,temp_max_semanal,28.5,°C,open-meteo,7
2023-02-05,2023-02-05,Antioquia,temp_min_semanal,14.9,°C,open-meteo,7
2023-02-05,2023-02-05,Antioquia,temp_promedio_semanal,21.1214,°C,open-meteo,7
2023-02-05,2023-02-01,COLOMBIA,exportaciones_cafe,929.255,miles_sacos_60kg,FNC,1
2023-02-05,2023-02-03,COLOMBIA,fx_usd_local,4585.25,COP/USD,yfinance,5
2023-02-05,2023-02-05,COLOMBIA,precio_interno_referencia,1960000.0,COP/carga_125kg,FNC,7
2023-02-05,2023-02-01,COLOMBIA,produccion_nacional,1025.0,miles_sacos_60kg,FNC,1
2023-02-05,2023-02-05,Caldas,precipitacion_semanal,25.7,mm,open-meteo,7
2023-02-05,2023-02-05,Caldas,temp_max_semanal,19.8,°C,open-meteo,7
2023-02-05,2023-02-05,Caldas,temp_min_semanal,7.8,°C,open-meteo,7
2023-02-05,2023-02-05,Caldas,temp_promedio_semanal,14.0571,°C,open-meteo,7
2023-02-05,2023-02-05,Cauca,precipitacion_semanal,6.0,mm,open-meteo,7
2023-02-05,2023-02-05,Cauca,temp_max_semanal,21.2,°C,open-meteo,7
2023-02-05,2023-02-05,Cauca,temp_min_semanal,12.1,°C,open-meteo,7
2023-02-05,2023-02-05,Cauca,temp_promedio_semanal,17.1,°C,open-meteo,7
2023-02-05,2023-02-03,GLOBAL,precio_cafe_arabica,172.8000030517578,USc/lb,yfinance,5
2023-02-05,2023-02-05,Huila,precipitacion_semanal,7.8,mm,open-meteo,7
2023-02-05,2023-02-05,Huila,temp_max_semanal,26.6,°C,open-meteo,7
